ID,total_logins,tot_good,tot_bad,time_good,time_bad
ipt109,[15],[15],[0],"[9.0, 17.0, 38.0, 21.0, 17.0, 15.0, 15.0, 31.0, 28.0, 36.0, 11.0, 14.0, 56.0, 22.0, 17.0]",[]
ipt110,[19],[15],[4],"[11.0, 15.0, 10.0, 18.0, 13.0, 11.0, 10.0, 7.0, 9.0, 12.0, 8.0, 13.0, 10.0, 11.0, 15.0]","[18.0, 21.0, 116.0, 11.0]"
ipt113,[29],[17],[12],"[5.0, 5.0, 10.0, 14.0, 10.0, 7.0, 6.0, 4.0, 4.0, 9.0, 5.0, 5.0, 5.0, 4.0, 9.0, 5.0]","[13.0, 6.0, 13.0, 12.0, 4.0, 4.0, 6.0, 4.0, 10.0, 12.0, 11.0, 11.0]"
ipt119,[18],[16],[2],"[12.0, 9.0, 9.0, 26.0, 14.0, 11.0, 12.0, 6.0, 6.0, 11.0, 9.0, 11.0, 11.0, 9.0, 61.0, 10.0]","[8.0, 9.0]"
ipt131,[15],[12],[3],"[35.0, 31.0, 40.0, 43.0, 54.0, 20.0, 33.0, 33.0, 20.0, 28.0, 38.0]","[52.0, 30.0]"
ipt133,[16],[15],[1],"[6.0, 14.0, 14.0, 16.0, 11.0, 21.0, 16.0, 16.0, 16.0, 12.0, 18.0, 12.0, 15.0, 20.0]",[6.0]
ipt134,[20],[15],[5],"[5.0, 20.0, 18.0, 21.0, 13.0, 29.0, 29.0, 22.0, 8.0, 23.0, 18.0, 21.0, 16.0]","[31.0, 24.0, 24.0, 18.0]"
ipt136,[18],[15],[3],"[8.0, 20.0, 10.0, 7.0, 12.0, 17.0, 16.0, 11.0, 11.0, 15.0, 11.0, 13.0, 16.0, 10.0, 10.0]","[21.0, 16.0, 15.0]"
ipt137,[20],[16],[4],"[12.0, 19.0, 15.0, 15.0, 24.0, 19.0, 31.0, 21.0, 19.0, 18.0, 19.0, 14.0, 14.0, 17.0]","[16.0, 15.0, 16.0]"
ipt143,[18],[15],[3],"[5.0, 6.0, 5.0, 38.0, 8.0, 7.0, 27.0, 11.0, 10.0, 5.0, 10.0, 30.0]","[23.0, 14.0, 10.0]"
ipt145,[16],[15],[1],"[21.0, 27.0, 24.0, 20.0, 24.0, 18.0, 31.0, 41.0, 20.0, 25.0, 22.0, 27.0, 29.0, 19.0, 23.0]",[]
